ホテル名,価格,評価,高評価項目
神楽ハウス,"12,000",,
いわっぱらの湯　飯塚,"20,240",,
石打　Ｍ・Ｓ館,"9,900",,
ペンション　クラウドナイン　苗場,"10,000",,
ロッヂ　エルブロンネ,"14,300",,
グリーンビレッジたかはし,"16,500",3.9,夕食、朝食、接客
サンロードインうばしま,"14,300",,
源泉100％の天然かけ流し温泉　山の湯　せきぜん＜関温泉＞,"15,400",,
和風いん越路,"19,000",,
Ｌｏｄｇｅ　ぷるーく,"14,000",,
舞子ロッヂ　どん,"14,300",,
四季の宿　アルファイン　秀雲荘,"13,000",,
アンティーズハウス,"15,400",,
車屋旅館,"15,000",,
東屋ロッヂ,"13,000",,
グリンデルワルト,"19,000",,
ビューリゾートインとみや,"10,000",,
ホワイトハウスマスエン,"21,000",,
ホテルモック,"18,040",,
ロッヂ　ヤングメイト,"11,600",,
ペットと泊まれる宿 ヒルサイド　イン　センタークラブ,"22,000",,
ペンション　レ・シャモア,"20,600",,
ロッヂ　キクノヤ,"21,520",,
ユートピア苗場,"12,600",,
セゾンインたかとし,"12,000",,
ファミリーハウス　しらゆき,"15,400",,
ヴィラまつのや,"19,000",,
ロッヂ　Ｂ＆Ｗ,"16,000",,
サンヴィレッジ苗場,"14,300",,
見晴館,"16,600",,
ホテル無門,"18,000",,
ホテル エフ,"16,000",,
今村旅館,"21,000",,
THE HOTEL YUZAWA ORIENTAL,"80,000",,
癒しの宿　旅館　田端屋,"16,200",,
グランドールタカノ,"13,200",,
ウッディ　イン　すずき,"16,000円〜",,
ホワイト・イン・スズヤ,"14,000円〜",,
関温泉 登美屋旅館,"11,000円〜",,
ｎａｅｂａ　サザン,"12,000円〜",,
ビューサンライズ,"14,300円〜",,
ジョイハウス　アベ,"13,000円〜",,
クラウンハイツ　〜自家製南魚沼産コシヒカリの宿〜,"5,800円〜",,
赤倉温泉 源泉掛け流しの宿 香嶽楼(こうがくろう),"17,600円〜",,
ロッヂふくだや,"20,000円〜",,
ウッディハウス　風見鶏,"17,860円〜",,
丸大ハウス,"15,400円〜",,
ロッヂモントゼー,"18,400円〜",,
憩いの宿　幸七旅館,"17,600円〜",,
旅館　関越,"8,000円〜",,
藤屋旅館,"15,000円〜",,
浦新,"8,400円〜",,
ピッコロホテル　ラ　パーチェ,"33,000円〜",,
リゾートインのぐち,"10,000円〜",,
ロッヂ　マシュー,"17,800円〜",,
池の平温泉 ロッジ コクハ,"13,100円〜",,
ヴィラ・モンルポ,"18,000円〜",,
ティアン,"18,700円〜",,
香雲閣,"59,000円〜",,
寿楼,"32,000円〜",,
居酒屋民宿　富士美荘,"12,800円〜",,
治兵衛,"10,600円〜",,
ゲストハウス　ボンク,"16,000円〜",,
スターホテル赤倉,"9,400円〜",3.0,
